Date,Action,Predicted_Q25,Predicted_Q75,Actual_Q25,Actual_Q75,RL_Reward
2011-05-12,0,0.0,0.0,,,
2011-05-16,0,0.0,0.0,,,
2011-05-18,0,0.0,0.0,,,
2011-05-20,0,0.0,0.0,,,
2011-05-24,0,0.0,0.0,,,
2011-05-26,0,0.0,0.0,,,
2011-05-31,0,0.0,0.0,,,
2011-06-02,0,0.0,0.0,,,
2011-06-06,0,0.0,0.0,,,
2011-06-08,0,0.0,0.0,,,
2011-06-10,0,0.0,0.0,,,
2011-06-14,0,0.0,0.0,,,
2011-06-16,0,0.0,0.0,,,
2011-06-20,0,0.0,0.0,,,
2011-06-22,0,0.0,0.0,,,
2011-06-24,0,0.0,0.0,,,
2011-06-28,0,0.0,0.0,,,
2011-06-30,0,0.0,0.0,,,
2011-07-05,0,0.0,0.0,,,
2011-07-07,0,0.0,0.0,,,
2011-07-11,0,0.0,0.0,,,
2011-07-13,0,0.0,0.0,,,
2011-07-15,0,0.0,0.0,,,
2011-07-19,0,0.0,0.0,,,
2011-07-21,0,0.0,0.0,,,
2011-07-25,0,0.0,0.0,,,
2011-07-27,0,0.0,0.0,,,
2011-07-29,0,0.0,0.0,,,
2011-08-02,0,0.0,0.0,,,
2011-08-04,0,0.0,0.0,,,
2011-08-08,0,0.0,0.0,,,
2011-08-10,0,0.0,0.0,,,
2011-08-12,0,0.0,0.0,,,
2011-08-16,0,0.0,0.0,,,
2011-08-18,0,0.0,0.0,,,
2011-08-22,0,0.0,0.0,,,
2011-08-24,0,0.0,0.0,,,
2011-08-26,0,0.0,0.0,,,
2011-08-30,0,0.0,0.0,,,
2011-09-01,0,0.0,0.0,,,
2011-09-06,0,0.0,0.0,,,
2011-09-08,0,0.0,0.0,,,
2011-09-12,0,0.0,0.0,,,
2011-09-14,0,0.0,0.0,,,
2011-09-16,0,0.0,0.0,,,
2011-09-20,0,0.0,0.0,,,
2011-09-22,0,0.0,0.0,,,
2011-09-26,0,0.0,0.0,,,
2011-09-28,0,0.0,0.0,,,
2011-09-30,0,0.0,0.0,,,
2011-10-04,0,0.0,0.0,,,
2011-10-06,0,0.0,0.0,,,
2011-10-10,0,0.0,0.0,,,
2011-10-12,0,0.0,0.0,,,
2011-10-14,0,0.0,0.0,,,
2011-10-18,0,0.0,0.0,,,
2011-10-20,0,0.0,0.0,,,
2011-10-24,0,0.0,0.0,,,
2011-10-26,0,0.0,0.0,,,
2011-10-28,0,0.0,0.0,,,
2011-11-01,0,0.0,0.0,,,
2011-11-03,0,0.0,0.0,,,
2011-11-07,0,0.0,0.0,,,
2011-11-09,0,0.0,0.0,,,
2011-11-11,0,0.0,0.0,,,
2011-11-15,0,0.0,0.0,,,
2011-11-17,0,0.0,0.0,,,
2011-11-21,0,0.0,0.0,,,
2011-11-23,0,0.0,0.0,,,
2011-11-28,0,0.0,0.0,,,
2011-11-30,0,0.0,0.0,,,
2011-12-02,0,0.0,0.0,,,
2011-12-06,0,0.0,0.0,,,
2011-12-08,0,0.0,0.0,,,
2011-12-12,0,0.0,0.0,,,
2011-12-14,0,0.0,0.0,,,
2011-12-16,0,0.0,0.0,,,
2011-12-20,0,0.0,0.0,,,
2011-12-22,0,0.0,0.0,,,
2011-12-27,0,0.0,0.0,,,
2011-12-29,0,0.0,0.0,,,
2012-01-03,0,0.0,0.0,,,
2012-01-05,0,0.0,0.0,,,
2012-01-09,0,0.0,0.0,,,
2012-01-11,0,0.0,0.0,,,
2012-01-13,0,0.0,0.0,,,
2012-01-18,0,0.0,0.0,,,
2012-01-20,0,0.0,0.0,,,
2012-01-24,0,0.0,0.0,,,
2012-01-26,0,0.0,0.0,,,
2012-01-30,0,0.0,0.0,,,
2012-02-01,0,0.0,0.0,,,
2012-02-03,0,0.0,0.0,,,
2012-02-07,0,0.0,0.0,,,
2012-02-09,0,0.0,0.0,,,
2012-02-13,0,0.0,0.0,,,
2012-02-15,0,0.0,0.0,,,
2012-02-17,0,0.0,0.0,,,
2012-02-22,0,0.0,0.0,,,
2012-02-24,0,0.0,0.0,,,
2012-02-28,0,0.0,0.0,,,
2012-03-01,0,0.0,0.0,,,
2012-03-05,0,0.0,0.0,,,
2012-03-07,0,0.0,0.0,,,
2012-03-09,0,0.0,0.0,,,
2012-03-13,0,0.0,0.0,,,
2012-03-15,0,0.0,0.0,,,
2012-03-19,0,0.0,0.0,,,
2012-03-21,0,0.0,0.0,,,
2012-03-23,0,0.0,0.0,,,
2012-03-27,0,0.0,0.0,,,
2012-03-29,0,0.0,0.0,,,
2012-04-02,0,0.0,0.0,,,
2012-04-04,0,0.0,0.0,,,
2012-04-09,0,0.0,0.0,,,
2012-04-11,0,0.0,0.0,,,
2012-04-13,0,0.0,0.0,,,
2012-04-17,0,0.0,0.0,,,
2012-04-19,0,0.0,0.0,,,
2012-04-23,0,0.0,0.0,,,
2012-04-25,0,0.0,0.0,,,
2012-04-27,0,0.0,0.0,,,
2012-05-01,0,0.0,0.0,,,
2012-05-03,0,0.0,0.0,,,
2012-05-07,0,0.0,0.0,,,
2012-05-09,0,0.0,0.0,,,
2012-05-11,0,0.0,0.0,,,
2012-05-15,0,0.0,0.0,,,
2012-05-17,0,0.0,0.0,,,
2012-05-21,0,0.0,0.0,,,
2012-05-23,0,0.0,0.0,,,
2012-05-25,0,0.0,0.0,,,
2012-05-30,0,0.0,0.0,,,
2012-06-01,0,0.0,0.0,,,
2012-06-05,0,0.0,0.0,,,
2012-06-07,0,0.0,0.0,,,
2012-06-11,0,0.0,0.0,,,
2012-06-13,0,0.0,0.0,,,
2012-06-15,0,0.0,0.0,,,
2012-06-19,0,0.0,0.0,,,
2012-06-21,0,0.0,0.0,,,
2012-06-25,0,0.0,0.0,,,
2012-06-27,0,0.0,0.0,,,
2012-06-29,0,0.0,0.0,,,
2012-07-03,0,0.0,0.0,,,
2012-07-06,0,0.0,0.0,,,
2012-07-10,0,0.0,0.0,,,
2012-07-12,0,0.0,0.0,,,
2012-07-16,0,0.0,0.0,,,
2012-07-18,0,0.0,0.0,,,
2012-07-20,0,0.0,0.0,,,
2012-07-24,0,0.0,0.0,,,
2012-07-26,0,0.0,0.0,,,
2012-07-30,0,0.0,0.0,,,
2012-08-01,0,0.0,0.0,,,
2012-08-03,0,0.0,0.0,,,
2012-08-07,0,0.0,0.0,,,
2012-08-09,0,0.0,0.0,,,
2012-08-13,0,0.0,0.0,,,
2012-08-15,0,0.0,0.0,,,
2012-08-17,0,0.0,0.0,,,
2012-08-21,0,0.0,0.0,,,
2012-08-23,0,0.0,0.0,,,
2012-08-27,0,0.0,0.0,,,
2012-08-29,0,0.0,0.0,,,
2012-08-31,0,0.0,0.0,,,
2012-09-05,0,0.0,0.0,,,
2012-09-07,0,0.0,0.0,,,
2012-09-11,0,0.0,0.0,,,
2012-09-13,0,0.0,0.0,,,
2012-09-17,0,0.0,0.0,,,
2012-09-19,0,0.0,0.0,,,
2012-09-21,0,0.0,0.0,,,
2012-09-25,0,0.0,0.0,,,
2012-09-27,0,0.0,0.0,,,
2012-10-01,0,0.0,0.0,,,
2012-10-03,0,0.0,0.0,,,
2012-10-05,0,0.0,0.0,,,
2012-10-09,0,0.0,0.0,,,
2012-10-11,0,0.0,0.0,,,
2012-10-15,0,0.0,0.0,,,
2012-10-17,0,0.0,0.0,,,
2012-10-19,0,0.0,0.0,,,
2012-10-23,0,0.0,0.0,,,
2012-10-25,0,0.0,0.0,,,
2012-10-31,0,0.0,0.0,,,
2012-11-02,0,0.0,0.0,,,
2012-11-06,0,0.0,0.0,,,
2012-11-08,0,0.0,0.0,,,
2012-11-12,0,0.0,0.0,,,
2012-11-14,0,0.0,0.0,,,
2012-11-16,0,0.0,0.0,,,
2012-11-20,0,0.0,0.0,,,
2012-11-23,0,0.0,0.0,,,
2012-11-27,0,0.0,0.0,,,
2012-11-29,0,0.0,0.0,,,
2012-12-03,0,0.0,0.0,,,
2012-12-05,0,0.0,0.0,,,
2012-12-07,0,0.0,0.0,,,
2012-12-11,0,0.0,0.0,,,
2012-12-13,0,0.0,0.0,,,
2012-12-17,0,0.0,0.0,,,
2012-12-19,0,0.0,0.0,,,
2012-12-21,0,0.0,0.0,,,
2012-12-26,0,0.0,0.0,,,
2012-12-28,0,0.0,0.0,,,
2013-01-02,0,0.0,0.0,,,
2013-01-04,0,0.0,0.0,,,
2013-01-08,0,0.0,0.0,,,
2013-01-10,0,0.0,0.0,,,
2013-01-14,0,0.0,0.0,,,
2013-01-16,0,0.0,0.0,,,
2013-01-18,0,0.0,0.0,,,
2013-01-23,0,0.0,0.0,,,
2013-01-25,0,0.0,0.0,,,
2013-01-29,0,0.0,0.0,,,
2013-01-31,0,0.0,0.0,,,
2013-02-04,0,0.0,0.0,,,
2013-02-06,0,0.0,0.0,,,
2013-02-08,0,0.0,0.0,,,
2013-02-12,0,0.0,0.0,,,
2013-02-14,0,0.0,0.0,,,
2013-02-19,0,0.0,0.0,0.0,0.0,1.0
2013-02-21,0,0.0,0.0,0.0,0.0,1.0
2013-02-25,0,0.0,0.0,0.0,0.0,1.0
2013-02-27,0,0.0,0.0,0.0,0.0,1.0
2013-03-01,0,0.0,0.0,0.0,0.0,1.0
2013-03-05,0,0.0,0.0,0.0,0.0,1.0
2013-03-07,0,0.0,0.0,0.0,0.0,1.0
2013-03-11,0,0.0,0.0,0.0,0.0,1.0
2013-03-13,0,0.0,0.0,0.0,0.0,1.0
2013-03-15,0,0.0,0.0,0.0,0.0,1.0
2013-03-19,0,0.0,0.0,0.0,0.0,1.0
2013-03-21,0,0.0,0.0,0.0,0.0,1.0
2013-03-25,0,0.0,0.0,0.0,0.0,1.0
2013-03-27,0,0.0,0.0,0.0,0.0,1.0
2013-04-01,0,0.0,0.0,0.0,0.0,1.0
2013-04-03,0,0.0,0.0,0.0,0.0,1.0
2013-04-05,0,0.0,0.0,0.0,0.0,1.0
2013-04-09,0,0.0,0.0,0.0,0.0,1.0
2013-04-11,0,0.0,0.0,0.0,0.0,1.0
2013-04-15,0,0.0,0.0,0.0,0.0,1.0
2013-04-17,0,0.0,0.0,0.0,0.0,1.0
2013-04-19,0,0.0,0.0,0.0,0.0,1.0
2013-04-23,0,0.0,0.0,0.0,0.0,1.0
2013-04-25,0,0.0,0.0,0.0,0.0,1.0
2013-04-29,0,0.0,0.0,0.0,0.0,1.0
2013-05-01,0,0.0,0.0,0.0,0.0,1.0
2013-05-03,0,0.0,0.0,0.0,0.0,1.0
2013-05-07,0,0.0,0.0,0.0,0.0,1.0
2013-05-09,0,0.0,0.0,0.0,0.0,1.0
2013-05-13,0,0.0,0.0,0.0,0.0,1.0
2013-05-15,0,0.0,0.0,0.0,0.0,1.0
2013-05-17,0,0.0,0.0,0.0,0.0,1.0
2013-05-21,0,0.0,0.0,0.0,0.0,1.0
2013-05-23,0,0.0,0.0,0.0,0.0,1.0
2013-05-28,0,0.0,0.0,0.0,0.0,1.0
2013-05-30,0,0.0,0.0,0.0,0.0,1.0
2013-06-03,0,0.0,0.0,0.0,0.0,1.0
2013-06-05,0,0.0,0.0,0.0,0.0,1.0
2013-06-07,0,0.0,0.0,0.0,0.0,1.0
2013-06-11,0,0.0,0.0,0.0,0.0,1.0
2013-06-13,0,0.0,0.0,0.0,0.0,1.0
2013-06-17,0,0.0,0.0,0.0,0.0,1.0
2013-06-19,0,0.0,0.0,0.0,0.0,1.0
2013-06-21,0,0.0,0.0,0.0,0.0,1.0
2013-06-25,0,0.0,0.0,0.0,0.0,1.0
2013-06-27,0,0.0,0.0,0.0,0.0,1.0
2013-07-01,0,0.0,0.0,0.0,0.0,1.0
2013-07-03,0,0.0,0.0,0.0,0.0,1.0
2013-07-08,0,0.0,0.0,0.0,0.0,1.0
2013-07-10,0,0.0,0.0,0.0,0.0,1.0
2013-07-12,0,0.0,0.0,0.0,0.0,1.0
2013-07-16,0,0.0,0.0,0.0,0.0,1.0
2013-07-18,0,0.0,0.0,0.0,0.0,1.0
2013-07-22,0,0.0,0.0,0.0,0.0,1.0
2013-07-24,0,0.0,0.0,0.0,0.0,1.0
2013-07-26,0,0.0,0.0,0.0,0.0,1.0
2013-07-30,0,0.0,0.0,0.0,0.0,1.0
2013-08-01,0,0.0,0.0,0.0,0.0,1.0
2013-08-05,0,0.0,0.0,0.0,0.0,1.0
2013-08-07,0,0.0,0.0,0.0,0.0,1.0
2013-08-09,0,0.0,0.0,0.0,0.0,1.0
2013-08-13,0,0.0,0.0,0.0,0.0,1.0
2013-08-15,0,0.0,0.0,0.0,0.0,1.0
2013-08-19,0,0.0,0.0,0.0,0.0,1.0
2013-08-21,0,0.0,0.0,0.0,0.0,1.0
2013-08-23,0,0.0,0.0,0.0,0.0,1.0
2013-08-27,0,0.0,0.0,0.0,0.0,1.0
2013-08-29,0,0.0,0.0,0.0,0.0,1.0
2013-09-03,0,0.0,0.0,0.0,0.0,1.0
2013-09-05,0,0.0,0.0,0.0,0.0,1.0
2013-09-09,0,0.0,0.0,0.0,0.0,1.0
2013-09-11,0,0.0,0.0,0.0,0.0,1.0
2013-09-13,0,0.0,0.0,0.0,0.0,1.0
2013-09-17,0,0.0,0.0,0.0,0.0,1.0
2013-09-19,0,0.0,0.0,0.0,0.0,1.0
2013-09-23,0,0.0,0.0,0.0,0.0,1.0
2013-09-25,0,0.0,0.0,0.0,0.0,1.0
2013-09-27,0,0.0,0.0,0.0,0.0,1.0
2013-10-01,0,0.0,0.0,0.0,0.0,1.0
2013-10-03,0,0.0,0.0,0.0,0.0,1.0
2013-10-07,0,0.0,0.0,0.0,0.0,1.0
2013-10-09,0,0.0,0.0,0.0,0.0,1.0
2013-10-11,0,0.0,0.0,0.0,0.0,1.0
2013-10-15,0,0.0,0.0,0.0,0.0,1.0
2013-10-17,0,0.0,0.0,0.0,0.0,1.0
2013-10-21,0,0.0,0.0,0.0,0.0,1.0
2013-10-23,0,0.0,0.0,0.0,0.0,1.0
2013-10-25,0,0.0,0.0,0.0,0.0,1.0
2013-10-29,0,0.0,0.0,0.0,0.0,1.0
2013-10-31,0,0.0,0.0,0.0,0.0,1.0
2013-11-04,0,0.0,0.0,0.0,0.0,1.0
2013-11-06,0,0.0,0.0,0.0,0.0,1.0
2013-11-08,0,0.0,0.0,0.0,0.0,1.0
2013-11-12,0,0.0,0.0,0.0,0.0,1.0
2013-11-14,0,0.0,0.0,0.0,0.0,1.0
2013-11-18,0,0.0,0.0,0.0,0.0,1.0
2013-11-20,0,0.0,0.0,0.0,0.0,1.0
2013-11-22,0,0.0,0.0,0.0,0.0,1.0
2013-11-26,0,0.0,0.0,0.0,0.0,1.0
2013-11-29,0,0.0,0.0,0.0,0.0,1.0
2013-12-03,0,0.0,0.0,0.0,0.0,1.0
2013-12-05,0,0.0,0.0,0.0,0.0,1.0
2013-12-09,0,0.0,0.0,0.0,0.0,1.0
2013-12-11,0,0.0,0.0,0.0,0.0,1.0
2013-12-13,0,0.0,0.0,0.0,0.0,1.0
2013-12-17,0,0.0,0.0,0.0,0.0,1.0
2013-12-19,0,0.0,0.0,0.0,0.0,1.0
2013-12-23,0,0.0,0.0,0.0,0.0,1.0
2013-12-26,0,0.0,0.0,0.0,0.0,1.0
2013-12-30,0,0.0,0.0,0.0,0.0,1.0
2014-01-02,0,0.0,0.0,0.0,0.0,1.0
2014-01-06,0,0.0,0.0,0.0,0.0,1.0
2014-01-08,0,0.0,0.0,0.0,0.0,1.0
2014-01-10,0,0.0,0.0,0.0,0.0,1.0
2014-01-14,0,0.0,0.0,0.0,0.0,1.0
2014-01-16,0,0.0,0.0,0.0,0.0,1.0
2014-01-21,0,0.0,0.0,0.0,0.0,1.0
2014-01-23,0,0.0,0.0,0.0,0.0,1.0
2014-01-27,0,0.0,0.0,0.0,0.0,1.0
2014-01-29,0,0.0,0.0,0.0,0.0,1.0
2014-01-31,0,0.0,0.0,0.0,0.0,1.0
2014-02-04,0,0.0,0.0,0.0,0.0,1.0
2014-02-06,0,0.0,0.0,0.0,0.0,1.0
2014-02-10,0,0.0,0.0,0.0,0.0,1.0
2014-02-12,0,0.0,0.0,0.0,0.0,1.0
2014-02-14,0,0.0,0.0,0.0,0.0,1.0
2014-02-19,0,0.0,0.0,0.0,0.0,1.0
2014-02-21,0,0.0,0.0,0.0,0.0,1.0
2014-02-25,0,0.0,0.0,0.0,0.0,1.0
2014-02-27,0,0.0,0.0,0.0,0.0,1.0
2014-03-03,0,0.0,0.0,0.0,0.0,1.0
2014-03-05,0,0.0,0.0,0.0,0.0,1.0
2014-03-07,0,0.0,0.0,0.0,0.0,1.0
2014-03-11,0,0.0,0.0,0.0,0.0,1.0
2014-03-13,0,0.0,0.0,0.0,0.0,1.0
2014-03-17,0,0.0,0.0,0.0,0.0,1.0
2014-03-19,0,0.0,0.0,0.0,0.0,1.0
2014-03-21,0,0.0,0.0,0.0,0.0,1.0
2014-03-25,0,0.0,0.0,0.0,0.0,1.0
2014-03-27,0,0.0,0.0,0.0,0.0,1.0
2014-03-31,0,0.0,0.0,0.0,0.0,1.0
2014-04-02,0,0.0,0.0,0.0,0.0,1.0
2014-04-04,0,0.0,0.0,0.0,0.0,1.0
2014-04-08,0,0.0,0.0,0.0,0.0,1.0
2014-04-10,0,0.0,0.0,0.0,0.0,1.0
2014-04-14,0,0.0,0.0,0.0,0.0,1.0
2014-04-16,0,0.0,0.0,0.0,0.0,1.0
2014-04-21,0,0.0,0.0,0.0,0.0,1.0
2014-04-23,0,0.0,0.0,0.0,0.0,1.0
2014-04-25,0,0.0,0.0,0.0,0.0,1.0
2014-04-29,0,0.0,0.0,0.0,0.0,1.0
2014-05-01,0,0.0,0.0,0.0,0.0,1.0
2014-05-05,0,0.0,0.0,0.0,0.0,1.0
2014-05-07,0,0.0,0.0,0.0,0.0,1.0
2014-05-09,0,0.0,0.0,0.0,0.0,1.0
2014-05-13,0,0.0,0.0,0.0,0.0,1.0
2014-05-15,0,0.0,0.0,0.0,0.0,1.0
2014-05-19,0,0.0,0.0,0.0,0.0,1.0
2014-05-21,0,0.0,0.0,0.0,0.0,1.0
2014-05-23,0,0.0,0.0,0.0,0.0,1.0
2014-05-28,0,0.0,0.0,0.0,0.0,1.0
2014-05-30,0,0.0,0.0,0.0,0.0,1.0
2014-06-03,0,0.0,0.0,0.0,0.0,1.0
2014-06-05,0,0.0,0.0,0.0,0.0,1.0
2014-06-09,0,0.0,0.0,0.0,0.0,1.0
2014-06-11,0,0.0,0.0,0.0,0.0,1.0
2014-06-13,0,0.0,0.0,0.0,0.0,1.0
2014-06-17,0,0.0,0.0,0.0,0.0,1.0
2014-06-19,0,0.0,0.0,0.0,0.0,1.0
2014-06-23,0,0.0,0.0,0.0,0.0,1.0
2014-06-25,0,0.0,0.0,0.0,0.0,1.0
2014-06-27,0,0.0,0.0,0.0,0.0,1.0
2014-07-01,0,0.0,0.0,0.0,0.0,1.0
2014-07-03,0,0.0,0.0,0.0,0.0,1.0
2014-07-08,0,0.0,0.0,0.0,0.0,1.0
2014-07-10,0,0.0,0.0,0.0,0.0,1.0
2014-07-14,0,0.0,0.0,0.0,0.0,1.0
2014-07-16,0,0.0,0.0,0.0,0.0,1.0
2014-07-18,0,0.0,0.0,0.0,0.0,1.0
2014-07-22,0,0.0,0.0,0.0,0.0,1.0
2014-07-24,0,0.0,0.0,0.0,0.0,1.0
2014-07-28,0,0.0,0.0,0.0,0.0,1.0
2014-07-30,0,0.0,0.0,0.0,0.0,1.0
2014-08-01,0,0.0,0.0,0.0,0.0,1.0
2014-08-05,0,0.0,0.0,0.0,0.0,1.0
2014-08-07,0,0.0,0.0,0.0,0.0,1.0
2014-08-11,0,0.0,0.0,0.0,0.0,1.0
2014-08-13,0,0.0,0.0,0.0,0.0,1.0
2014-08-15,0,0.0,0.0,0.0,0.0,1.0
2014-08-19,0,0.0,0.0,0.0,0.0,1.0
2014-08-21,0,0.0,0.0,0.0,0.0,1.0
2014-08-25,0,0.0,0.0,0.0,0.0,1.0
2014-08-27,0,0.0,0.0,0.0,0.0,1.0
2014-08-29,0,0.0,0.0,0.0,0.0,1.0
2014-09-03,0,0.0,0.0,0.0,0.0,1.0
2014-09-05,0,0.0,0.0,0.0,0.0,1.0
2014-09-09,0,0.0,0.0,0.0,0.0,1.0
2014-09-11,0,0.0,0.0,0.0,0.0,1.0
2014-09-15,0,0.0,0.0,0.0,0.0,1.0
2014-09-17,0,0.0,0.0,0.0,0.0,1.0
2014-09-19,0,0.0,0.0,0.0,0.0,1.0
2014-09-23,0,0.0,0.0,0.0,0.0,1.0
2014-09-25,0,0.0,0.0,0.0,0.0,1.0
2014-09-29,0,0.0,0.0,0.0,0.0,1.0
2014-10-01,0,0.0,0.0,0.0,0.0,1.0
2014-10-03,0,0.0,0.0,0.0,0.0,1.0
2014-10-07,0,0.0,0.0,0.0,0.0,1.0
2014-10-09,0,0.0,0.0,0.0,0.0,1.0
2014-10-13,0,0.0,0.0,0.0,0.0,1.0
2014-10-15,0,0.0,0.0,0.0,0.0,1.0
2014-10-17,0,0.0,0.0,0.0,0.0,1.0
2014-10-21,0,0.0,0.0,0.0,0.0,1.0
2014-10-23,0,0.0,0.0,0.0,0.0,1.0
2014-10-27,0,0.0,0.0,0.0,0.0,1.0
2014-10-29,0,0.0,0.0,0.0,0.0,1.0
2014-10-31,0,0.0,0.0,0.0,0.0,1.0
2014-11-04,0,0.0,0.0,0.0,0.0,1.0
2014-11-06,0,0.0,0.0,0.0,0.0,1.0
2014-11-10,0,0.0,0.0,0.0,0.0,1.0
2014-11-12,0,0.0,0.0,0.0,0.0,1.0
2014-11-14,0,0.0,0.0,0.0,0.0,1.0
2014-11-18,0,0.0,0.0,0.0,0.0,1.0
2014-11-20,0,0.0,0.0,0.0,0.0,1.0
2014-11-24,0,0.0,0.0,0.0,0.0,1.0
2014-11-26,0,0.0,0.0,0.0,0.0,1.0
2014-12-01,0,0.0,0.0,0.0,0.0,1.0
2014-12-03,0,0.0,0.0,0.0,0.0,1.0
2014-12-05,0,0.0,0.0,0.0,0.0,1.0
2014-12-09,0,0.0,0.0,0.0,0.0,1.0
2014-12-11,0,0.0,0.0,0.0,0.0,1.0
2014-12-15,0,0.0,0.0,0.0,0.0,1.0
2014-12-17,0,0.0,0.0,0.0,0.0,1.0
2014-12-19,0,0.0,0.0,0.0,0.0,1.0
2014-12-23,0,0.0,0.0,0.0,0.0,1.0
2014-12-26,0,0.0,0.0,0.0,0.0,1.0
2014-12-30,0,0.0,0.0,0.0,0.0,1.0
2015-01-02,0,0.0,0.0,0.0,0.0,1.0
2015-01-06,0,0.0,0.0,0.0,0.0,1.0
2015-01-08,0,0.0,0.0,0.0,0.0,1.0
2015-01-12,0,0.0,0.0,0.0,0.0,1.0
2015-01-14,0,0.0,0.0,0.0,0.0,1.0
2015-01-16,0,0.0,0.0,0.0,0.0,1.0
2015-01-21,0,0.0,0.0,0.0,0.0,1.0
2015-01-23,0,0.0,0.0,0.0,0.0,1.0
2015-01-27,0,0.0,0.0,0.0,0.0,1.0
2015-01-29,0,0.0,0.0,0.0,0.0,1.0
2015-02-02,0,0.0,0.0,0.0,0.0,1.0
2015-02-04,0,0.0,0.0,0.0,0.0,1.0
2015-02-06,0,0.0,0.0,0.0,0.0,1.0
2015-02-10,0,0.0,0.0,0.0,0.0,1.0
2015-02-12,0,0.0,0.0,0.0,0.0,1.0
2015-02-17,0,0.0,0.0,0.0,0.0,1.0
2015-02-19,0,0.0,0.0,0.0,0.0,1.0
2015-02-23,0,0.0,0.0,0.0,0.0,1.0
2015-02-25,0,0.0,0.0,0.0,0.0,1.0
2015-02-27,0,0.0,0.0,0.0,0.0,1.0
2015-03-03,0,0.0,0.0,0.0,0.0,1.0
2015-03-05,0,0.0,0.0,0.0,0.0,1.0
2015-03-09,0,0.0,0.0,0.0,0.0,1.0
2015-03-11,0,0.0,0.0,0.0,0.0,1.0
2015-03-13,0,0.0,0.0,0.0,0.0,1.0
2015-03-17,0,0.0,0.0,0.0,0.0,1.0
2015-03-19,0,0.0,0.0,0.0,0.0,1.0
2015-03-23,0,0.0,0.0,0.0,0.0,1.0
2015-03-25,0,0.0,0.0,0.0,0.0,1.0
2015-03-27,0,0.0,0.0,0.0,0.0,1.0
2015-03-31,0,0.0,0.0,0.0,0.0,1.0
2015-04-02,0,0.0,0.0,0.0,0.0,1.0
2015-04-07,0,0.0,0.0,0.0,0.0,1.0
2015-04-09,0,0.0,0.0,0.0,0.0,1.0
2015-04-13,0,0.0,0.0,0.0,0.0,1.0
2015-04-15,0,0.0,0.0,0.0,0.0,1.0
2015-04-17,0,0.0,0.0,0.0,0.0,1.0
2015-04-21,0,0.0,0.0,0.0,0.0,1.0
2015-04-23,0,0.0,0.0,0.0,0.0,1.0
2015-04-27,0,0.0,0.0,0.0,0.0,1.0
2015-04-29,0,0.0,0.0,0.0,0.0,1.0
2015-05-01,0,0.0,0.0,0.0,0.0,1.0
2015-05-05,0,0.0,0.0,0.0,0.0,1.0
2015-05-07,0,0.0,0.0,0.0,0.0,1.0
2015-05-11,0,0.0,0.0,0.0,0.0,1.0
2015-05-13,0,0.0,0.0,0.0,0.0,1.0
2015-05-15,0,0.0,0.0,0.0,0.0,1.0
2015-05-19,0,0.0,0.0,0.0,0.0,1.0
2015-05-21,0,0.0,0.0,0.0,0.0,1.0
2015-05-26,0,0.0,0.0,0.0,0.0,1.0
2015-05-28,0,0.0,0.0,0.0,0.0,1.0
2015-06-01,0,0.0,0.0,0.0,0.0,1.0
2015-06-03,0,0.0,0.0,0.0,0.0,1.0
2015-06-05,0,0.0,0.0,0.0,0.0,1.0
